((1024, 0.01, 0.05, 16, 8, 2), 3.8155597994079335, -5.846164409059721, 3)
((1024, 0.01, 0.05, 64, 8, 16), 3.8173108314026165, -8.432954633168032, 0)
((1024, 0.01, 0.05, 4, 4, 2), 3.818747617034762, -13.991162590360746, 19)
((1024, 0.01, 0.05, 16, 8, 16), 3.8190749075933326, -7.046700883140596, 4)
((1024, 0.01, 0.05, 128, 16, 16), 3.8296355893923213, -7.197031350038413, 1)
((1024, 0.01, 0.05, 32, 8, 4), 3.8335450313216684, -7.368063579503753, 8)
((1024, 0.01, 0.05, 8, 8, 2), 3.8398574447987595, -7.2551011287527984, 15)
((1024, 0.01, 0.05, 128, 16, 2), 3.8471262977691243, -6.4005704416121905, 3)
((1024, 0.01, 0.05, 32, 2, 4), 3.851992932137555, -7.158348606642166, 1)
((1024, 0.01, 0.05, 2, 2, 8), 3.8564510770985487, -7.250556639085763, 9)
((1024, 0.01, 0.05, 4, 2, 32), 3.8571856182386424, -7.353226875359809, 2)
((1024, 0.01, 0.05, 4, 2, 2), 3.860571503444829, -12.77206145833411, 17)
((1024, 0.01, 0.05, 128, 4, 8), 3.863877246432999, -6.196283590990716, 1)
((1024, 0.01, 0.05, 64, 4, 8), 3.8652825328007037, -7.134194504130667, 2)
((1024, 0.01, 0.05, 16, 32, 8), 3.8684480202350926, -7.702684408930308, 3)
((1024, 0.01, 0.05, 4, 2, 16), 3.873864472895127, -8.912372031557757, 14)
((1024, 0.01, 0.05, 8, 4, 2), 3.8876562823277143, -8.59924781906315, 12)
((1024, 0.01, 0.05, 128, 8, 4), 3.892298078696176, -5.9053332180287805, 2)
((1024, 0.01, 0.05, 8, 8, 8), 3.8929080372975133, -8.698077773819307, 17)
((1024, 0.01, 0.05, 128, 2, 16), 3.9012510179967115, -8.493435246600692, 16)
((1024, 0.01, 0.05, 32, 32, 16), 3.9112560980903175, -9.107525856142589, 0)
((1024, 0.01, 0.05, 8, 2, 32), 3.9118325355766213, -7.63434948169987, 11)
((1024, 0.01, 0.05, 64, 8, 4), 3.9119250981920324, -6.700153384801867, 1)
((1024, 0.01, 0.05, 8, 2, 4), 3.9190774138244557, -9.130476755304672, 8)
((1024, 0.01, 0.05, 128, 16, 8), 3.927195332849544, -8.388771179766932, 1)
((1024, 0.01, 0.05, 16, 4, 2), 3.9424347597114258, -6.797511429155049, 10)
((1024, 0.01, 0.05, 2, 128, 16), 3.943565085267752, -7.959283596756415, 1)
((1024, 0.01, 0.05, 32, 16, 16), 3.9454561043591276, -7.645036527591179, 1)
((1024, 0.01, 0.05, 64, 2, 8), 3.9486728003011295, -7.649816772426916, 15)
((1024, 0.01, 0.05, 4, 8, 32), 3.9603409459395573, -10.737812650585404, 3)
((1024, 0.01, 0.05, 8, 4, 8), 3.969379919542962, -8.019886068638534, 11)
((1024, 0.01, 0.05, 16, 16, 16), 3.9746305040040624, -6.31572627454645, 2)
((1024, 0.01, 0.05, 64, 4, 4), 3.981676450373418, -6.896718894776661, 1)
((1024, 0.01, 0.05, 4, 16, 2), 3.9850656589259685, -6.856558990177911, 4)
((1024, 0.01, 0.05, 64, 8, 2), 3.987085260169838, -8.657362432030395, 1)
((1024, 0.01, 0.05, 8, 16, 16), 3.9918133750072293, -10.454088440628789, 21)
((1024, 0.01, 0.05, 32, 32, 32), 4.004183836611574, -7.9525010897244846, 0)
((1024, 0.01, 0.05, 64, 16, 2), 4.0291300741250815, -6.142846505218061, 1)
((1024, 0.01, 0.05, 4, 4, 4), 4.030347721482799, -6.998316962211567, 15)
((1024, 0.01, 0.05, 16, 8, 4), 4.031418781386693, -6.912562170721417, 1)
((1024, 0.01, 0.05, 2, 16, 16), 4.035493303535482, -6.892248610193449, 4)
((1024, 0.01, 0.05, 64, 2, 2), 4.035863969095189, -7.286202067170096, 24)
((1024, 0.01, 0.05, 128, 32, 2), 4.037457872005929, -9.59029152450172, 6)
((1024, 0.01, 0.05, 16, 16, 8), 4.047169952584709, -7.532221742923887, 5)
((1024, 0.01, 0.05, 64, 4, 2), 4.059089095664064, -5.8546901482607785, 11)
((1024, 0.01, 0.05, 128, 2, 32), 4.066298975442594, -7.073497585359397, 19)
((1024, 0.01, 0.05, 128, 8, 2), 4.072362787443465, -7.359173547503892, 0)
