((1024, 0.0002, 0.001, 128, 4, 32), 4.383307129482173, -7.897984317053231, 4)
((1024, 0.0002, 0.001, 64, 128, 4), 4.385067937733806, -6.953675735515085, 24)
((1024, 0.0002, 0.001, 8, 2, 8), 4.392232439397509, -9.142663574989415, 1)
((1024, 0.0002, 0.001, 128, 16, 8), 4.392535948453669, -6.837412614482239, 1)
((1024, 0.0002, 0.001, 4, 8, 16), 4.398540013185194, -7.739777004675774, 37)
((1024, 0.0002, 0.001, 32, 4, 16), 4.402285857671479, -8.088281464713402, 6)
((1024, 0.0002, 0.001, 32, 2, 4), 4.4126588353191805, -7.141898291388769, 21)
((1024, 0.0002, 0.001, 64, 16, 4), 4.422117574205096, -8.190301552044021, 8)
((1024, 0.0002, 0.001, 64, 32, 8), 4.424765540073024, -8.321321143497293, 18)
((1024, 0.0002, 0.001, 4, 32, 16), 4.430914540266141, -6.8052393209720075, 0)
((1024, 0.0002, 0.001, 2, 2, 16), 4.436336800933914, -7.403795832444237, 12)
((1024, 0.0002, 0.001, 8, 128, 2), 4.441071743457813, -6.925855654479933, 15)
((1024, 0.0002, 0.001, 64, 64, 8), 4.445749325777129, -9.900042726220063, 5)
((1024, 0.0002, 0.001, 8, 64, 4), 4.446169947218643, -7.53371061915874, 52)
((1024, 0.0002, 0.001, 128, 2, 4), 4.449109779776121, -7.627895128489667, 61)
((1024, 0.0002, 0.001, 4, 16, 16), 4.449731085584002, -7.2865098545797915, 0)
((1024, 0.0002, 0.001, 32, 128, 8), 4.460381553796788, -8.434602173295348, 3)
((1024, 0.0002, 0.001, 2, 2, 32), 4.463504961834856, -8.269331807544633, 0)
((1024, 0.0002, 0.001, 32, 128, 4), 4.467573832589511, -7.219592237063308, 10)
((1024, 0.0002, 0.001, 8, 2, 16), 4.468202615591151, -7.603349359018153, 13)
((1024, 0.0002, 0.001, 2, 16, 4), 4.477308398830173, -7.140525731149623, 3)
((1024, 0.0002, 0.001, 32, 32, 4), 4.484181356097884, -6.881371917787398, 0)
((1024, 0.0002, 0.001, 8, 8, 16), 4.485626709130248, -7.628556073461409, 14)
((1024, 0.0002, 0.001, 64, 64, 16), 4.487880576729681, -7.695511228908934, 74)
((1024, 0.0002, 0.001, 128, 2, 8), 4.48908096611613, -7.5001752228298235, 11)
((1024, 0.0002, 0.001, 32, 32, 32), 4.491123647781829, -8.622080006957303, 6)
((1024, 0.0002, 0.001, 128, 32, 32), 4.491745816244469, -7.384547254872367, 39)
((1024, 0.0002, 0.001, 128, 64, 32), 4.501328728983583, -6.968210195700542, 0)
((1024, 0.0002, 0.001, 16, 128, 2), 4.50454609070339, -7.776428239238791, 70)
((1024, 0.0002, 0.001, 16, 4, 8), 4.5081547986726775, -9.512683266203119, 8)
((1024, 0.0002, 0.001, 4, 16, 32), 4.50844990447043, -7.560623819966053, 11)
((1024, 0.0002, 0.001, 8, 4, 32), 4.509617908869916, -7.831155673834297, 31)
((1024, 0.0002, 0.001, 2, 8, 4), 4.51133026833425, -8.195729553796246, 5)
((1024, 0.0002, 0.001, 128, 32, 16), 4.5142747785313695, -8.612920621311417, 9)
((1024, 0.0002, 0.001, 128, 16, 4), 4.517448481772613, -7.083020580748226, 0)
((1024, 0.0002, 0.001, 2, 16, 8), 4.5183401741065135, -7.7703075794794225, 12)
((1024, 0.0002, 0.001, 8, 8, 4), 4.518744140070841, -7.141826730698788, 3)
((1024, 0.0002, 0.001, 4, 128, 16), 4.524693868837117, -7.501670232291879, 48)
((1024, 0.0002, 0.001, 64, 128, 2), 4.52910685527726, -8.620009692743558, 5)
((1024, 0.0002, 0.001, 4, 64, 16), 4.530446628951546, -7.5314731190419995, 79)
((1024, 0.0002, 0.001, 64, 4, 8), 4.534697249309546, -9.196965157061031, 12)
((1024, 0.0002, 0.001, 4, 32, 32), 4.542092203073565, -7.630049723096969, 24)
((1024, 0.0002, 0.001, 32, 128, 2), 4.548224365906286, -9.054629358959255, 2)
((1024, 0.0002, 0.001, 32, 16, 4), 4.548930941346525, -7.607664725050532, 1)
((1024, 0.0002, 0.001, 16, 64, 2), 4.556178062552007, -7.738811133388909, 41)
((1024, 0.0002, 0.001, 128, 32, 8), 4.559686930963057, -7.569244302228414, 21)
