((1024, 1e-06, 5e-06, 16, 128, 32), 0.3916069937537137)
((1024, 1e-06, 5e-06, 128, 16, 16), 0.39168247337447315)
((1024, 0.0001, 5e-05, 32, 32, 8), 0.3917198041325272)
((1024, 1e-06, 5e-06, 32, 64, 32), 0.3930367021787506)
((1024, 1e-05, 0.0005, 16, 32, 8), 0.3938260003115034)
((1024, 1e-06, 5e-06, 128, 16, 8), 0.39390029216036415)
((1024, 1e-06, 5e-06, 64, 16, 8), 0.39440430171503504)
((1024, 1e-05, 5e-05, 32, 64, 16), 0.39498003595148273)
((1024, 0.0001, 5e-05, 32, 64, 4), 0.3955324345542161)
((1024, 1e-05, 0.0005, 16, 16, 8), 0.39623610816244953)
((1024, 0.0001, 5e-06, 64, 128, 8), 0.39676873965635184)
((1024, 1e-05, 5e-06, 128, 32, 32), 0.39744448894207784)
((1024, 0.0001, 5e-05, 16, 64, 8), 0.39776634518973303)
((1024, 1e-06, 0.0005, 16, 64, 4), 0.39794895304916017)
((1024, 1e-05, 5e-05, 32, 16, 16), 0.39799390161867426)
((1024, 1e-05, 5e-06, 16, 16, 8), 0.3980139708167611)
((1024, 0.0001, 5e-05, 32, 128, 8), 0.39829735116858295)
((1024, 0.0001, 0.0005, 32, 128, 16), 0.39890659436594167)
((1024, 1e-05, 5e-06, 32, 16, 32), 0.39911475812114394)
((1024, 1e-05, 5e-06, 16, 32, 32), 0.39943690666966286)
((1024, 0.0001, 5e-05, 16, 32, 4), 0.3995041412239742)
((1024, 0.0001, 5e-05, 64, 128, 4), 0.3999815503623753)
((1024, 1e-06, 5e-06, 64, 128, 16), 0.4000928296290249)
((1024, 1e-06, 0.0005, 128, 64, 32), 0.4002851889381787)
((1024, 0.0001, 0.0005, 32, 16, 32), 0.4003181252615161)
((1024, 1e-06, 5e-06, 16, 64, 16), 0.4004112181592009)
((1024, 1e-05, 5e-06, 16, 16, 16), 0.4007690758046524)
((1024, 1e-05, 5e-05, 32, 128, 32), 0.4009540929717209)
((1024, 1e-06, 5e-05, 64, 16, 8), 0.4010159002577596)
((1024, 1e-06, 5e-06, 128, 64, 4), 0.40122432123871604)
((1024, 1e-05, 5e-05, 128, 128, 4), 0.4013978594969832)
((1024, 1e-06, 5e-06, 128, 32, 8), 0.40159569320721744)
((1024, 1e-05, 0.0005, 16, 64, 8), 0.4017082183017211)
((1024, 0.0001, 5e-05, 32, 64, 16), 0.40177351125330807)
((1024, 1e-05, 0.0005, 128, 32, 8), 0.4018130871410957)
((1024, 1e-05, 5e-06, 64, 128, 4), 0.4019220360651649)
((1024, 0.0001, 5e-05, 16, 128, 8), 0.40192725417373676)
((1024, 0.0001, 5e-06, 16, 32, 4), 0.40225010769582376)
((1024, 1e-05, 5e-06, 32, 128, 4), 0.4025586889884115)
((1024, 0.0001, 0.0005, 128, 64, 32), 0.4026022885657698)
((1024, 1e-05, 5e-05, 64, 64, 8), 0.4033733425988432)
((1024, 0.0001, 5e-06, 32, 32, 8), 0.40406612420866367)
((1024, 1e-05, 5e-05, 32, 16, 8), 0.4042552768628537)
((1024, 1e-05, 5e-05, 128, 16, 16), 0.4044520214081001)
((1024, 0.0001, 5e-05, 128, 128, 8), 0.404634130293987)
((1024, 1e-06, 5e-06, 128, 64, 16), 0.40473241203722093)
((1024, 1e-05, 5e-05, 16, 64, 4), 0.40566773096759545)
((1024, 1e-05, 0.0005, 64, 64, 8), 0.4058812940385753)
((1024, 1e-06, 5e-05, 64, 16, 4), 0.40619190701667435)
((1024, 1e-06, 5e-05, 32, 16, 32), 0.4064151033053721)
((1024, 1e-06, 0.0005, 32, 32, 4), 0.4066574460429461)
((1024, 0.0001, 0.0005, 32, 128, 8), 0.4066744806792545)
((1024, 0.0001, 5e-05, 32, 32, 16), 0.4070671938570519)
((1024, 1e-06, 5e-06, 128, 128, 32), 0.4070802751447784)
((1024, 0.0001, 0.0005, 32, 32, 16), 0.40753450292630583)
((1024, 1e-06, 5e-05, 64, 16, 16), 0.4075597860589358)
